package_ndc,generic_name,dosage_form,presentation,company_name,initial_posting_date,update_date,discontinued_date,availability,status,shortage_reason,therapeutic_category,update_type,related_info,shortage,manufacturer_count,shortage_frequency,drug_shortage_frequency,log_drug_freq,complexity_Low,complexity_Medium,generic_clean,ingredient_clean,true_manufacturer_count,log_manufacturer_count,prev_shortage_date,days_since_last_shortage_x,log_days_since_last_shortage,days_since_last_shortage_y,days_since_last_shortage,rolling_shortage_12m,log_rolling_shortage_12m,future_shortage,approval_year,drug_age,reason_manufacturing,reason_quality,reason_demand,reason_unknown,manufacturer_risk,category_demand_score_x,is_injectable,is_tablet,is_capsule,manufacturer_risk_scaled,category_demand_score_y,category_demand_score
0074-9037-30,Paricalcitol Capsule,capsule,"Zemplar, Capsule, 2 ug (NDC 0074-9037-30)",AbbVie Inc.,2025-10-07,2025-10-07,2025-10-07,,To Be Discontinued,unavailable,Endocrinology/Metabolism,New,Discontinuation of the manufacture of the drug,0,1,1,2,1.0986122886681098,True,False,PARICALCITOL,PARICALCITOL,12.0,2.5649493574615367,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.043478260869565216,0,0,1,0.0,0.043478260869565216,0.043478260869565216
0074-7098-06,Pilocarpine Hydrochloride Ophthalmic Solution,ophthalmic solution,"Vuity, Ophthalmic Solution, 12.5 mg/1 mL (NDC 0074-7098-06)",AbbVie Inc.,2026-03-24,2026-03-24,2026-03-24,,To Be Discontinued,unavailable,Ophthalmology,New,Discontinuation of the manufacture of the drug,0,1,1,5,1.791759469228055,False,True,PILOCARPINE HYDROCHLORIDE OPHTHALMIC,,1.0,0.6931471805599453,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2026,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
16729-526-08,Atropine Sulfate Injection,injection,"Atropine Sulfate, Injection, 1 mg/1 mL (NDC 16729-526-08)",Accord Healthcare Inc.,2012-01-01,2026-03-17,,Unavailable,Current,requirements related to complying with good manufacturing practices,"Anesthesia, Neurology, Pediatric",Reverified,Resupply: TBD,1,7,1,18,2.9444389791664403,False,False,ATROPINE SULFATE,ATROPINE SULFATE,14.0,2.70805020110221,2012-01-01,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2012,0,1,0,0,0,1.0,0.5333333333333333,1,0,0,2.70805020110221,0.5333333333333333,0.5333333333333333
16729-484-90,Atropine Sulfate Injection,injection,"Atropine Sulfate, Injection, .1 mg/1 mL (NDC 16729-484-90)",Accord Healthcare Inc.,2020-01-01,2026-03-17,,Unavailable,Current,discontinuation of the manufacture of the drug,"Anesthesia, Neurology, Pediatric",Reverified,Discontinuation of the manufacture of the drug,1,7,1,18,2.9444389791664403,False,False,ATROPINE SULFATE,ATROPINE SULFATE,14.0,2.70805020110221,2020-01-01,0.0,7.980365765111246,2922.0,2922.0,0,0.0,0,2020,0,1,0,0,0,1.0,0.5333333333333333,1,0,0,2.70805020110221,0.5333333333333333,0.5333333333333333
16729-502-43,Furosemide Injection,injection,"Furosemide, Injection, 10 mg/1 mL (NDC 16729-502-43)",Accord Healthcare Inc.,2020-04-07,2026-03-17,,Unavailable,Current,requirements related to complying with good manufacturing practices,Cardiovascular,Revised,Estimated recovery: TBD,1,9,1,33,3.5263605246161616,False,False,FUROSEMIDE,FUROSEMIDE,26.0,3.295836866004329,2020-04-07,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2020,0,1,0,0,0,0.8571428571428571,0.19135802469135801,1,0,0,2.8250030280037106,0.19135802469135801,0.19135802469135801
16729-239-93,Dexmedetomidine Hydrochloride Injection,injection,"Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 16729-239-93)",Accord Healthcare Inc.,2020-04-10,2026-03-17,,Unavailable,Current,requirements related to complying with good manufacturing practices,Anesthesia,Revised,Estimated recovery: TBD,1,14,1,52,3.970291913552122,False,False,DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,27.0,3.332204510175204,2020-04-10,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2020,0,1,0,0,0,0.9,0.2558139534883721,1,0,0,2.9989840591576833,0.2558139534883721,0.2558139534883721
16729-306-10,Azacitidine Injection,injection,"Azacitidine, Injection, 100 mg (NDC 16729-306-10)",Accord Healthcare Inc.,2020-12-21,2026-03-17,,Available,Current,unavailable,Oncology,Reverified,,0,9,1,9,2.302585092994046,False,False,AZACITIDINE,AZACITIDINE,16.0,2.833213344056216,2020-12-18,3.0,1.3862943611198906,3.0,3.0,1,0.6931471805599453,1,2020,0,0,0,0,0,0.8333333333333334,0.27586206896551724,1,0,0,2.361011120046847,0.27586206896551724,0.27586206896551724
16729-137-00,Clonazepam Tablet,tablet,"Clonazepam, Tablet, 1 mg (NDC 16729-137-00)",Accord Healthcare Inc.,2023-03-10,2026-03-17,,Unavailable,Current,requirements related to complying with good manufacturing practices,"Neurology, Pediatric, Psychiatry",Revised,Estimated recovery: 30 days,1,6,1,40,3.713572066704308,True,False,CLONAZEPAM,CLONAZEPAM,12.0,2.5649493574615367,2023-03-10,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2023,0,1,0,0,0,0.8461538461538461,0.05128205128205128,0,1,0,2.1703417640059155,0.05128205128205128,0.05128205128205128
16729-277-30,Methotrexate Sodium Injection,injection,"Methotrexate Sodium Preservative Free, Injection, 25 mg/1 mL (NDC 16729-277-30)",Accord Healthcare Inc.,2023-03-13,2026-03-17,,Available,Current,unavailable,"Rheumatology, Oncology",Reverified,,0,5,1,14,2.70805020110221,False,False,METHOTREXATE SODIUM,METHOTREXATE SODIUM,16.0,2.833213344056216,2023-03-13,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2023,0,0,0,0,0,0.5789473684210527,0.07692307692307693,1,0,0,1.6402814097167568,0.07692307692307693,0.07692307692307693
16729-295-33,Carboplatin Injection,injection,"Carboplatin, Injection, 10 mg/1 mL (NDC 16729-295-33)",Accord Healthcare Inc.,2023-04-28,2026-03-17,,Unavailable,Current,discontinuation of the manufacture of the drug,Oncology,Reverified,Discontinuation of the manufacture of the drug,1,8,1,29,3.4011973816621555,False,False,CARBOPLATIN,CARBOPLATIN,13.0,2.6390573296152584,2023-04-28,0.0,9.210340371976184,9999.0,9999.0,0,0.0,1,2023,0,1,0,0,0,0.5714285714285714,0.27586206896551724,1,0,0,1.5080327597801475,0.27586206896551724,0.27586206896551724
16729-081-10,Naltrexone Hydrochloride Tablet,tablet,"Naltrexone Hydrochloride, Tablet, 50 mg (NDC 16729-081-10)",Accord Healthcare Inc.,2024-02-29,2026-02-11,,,Resolved,unavailable,Analgesia/Addiction,Revised,,0,5,1,15,2.772588722239781,True,False,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,6.0,1.9459101490553132,2024-02-29,0.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2024,0,0,0,0,0,0.6,0.4608695652173913,0,1,0,1.167546089433188,0.4608695652173913,0.4608695652173913
0472-0804-15,Desonide Cream,cream,"Desowen, Cream, .5 mg/1 g (NDC 0472-0804-15)","Actavis Pharma, Inc.",2025-05-28,2025-05-28,2025-05-28,,To Be Discontinued,unavailable,Dermatology,New,,0,1,1,2,1.0986122886681098,False,True,DESONIDE,DESONIDE,10.0,2.3978952727983707,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
0591-3713-19,Ezetimibe Tablet,tablet,"Ezetimibe, Tablet, 10 mg (NDC 0591-3713-19)","Actavis Pharma, Inc.",2025-06-27,2025-06-27,2025-06-27,,To Be Discontinued,unavailable,Cardiovascular,New,A business decision was made to discontinue manufacture of the product,0,1,1,3,1.3862943611198906,True,False,EZETIMIBE,EZETIMIBE,13.0,2.6390573296152584,,9999.0,9.210340371976184,9999.0,9999.0,0,0.0,0,2025,0,0,0,0,0,0.0,0.19135802469135801,0,1,0,0.0,0.19135802469135801,0.19135802469135801
