ingredient_clean,true_manufacturer_count
ABACAVIR SULFATE,6
ABACAVIR SULFATE;DOLUTEGRAVIR SODIUM;LAMIVUDINE,1
ABACAVIR SULFATE;LAMIVUDINE,5
ABALOPARATIDE,1
ABEMACICLIB,1
ABIRATERONE ACETATE,14
ABIRATERONE ACETATE;NIRAPARIB TOSYLATE,1
ABROCITINIB,1
ACALABRUTINIB,1
ACALABRUTINIB MALEATE,1
ACAMPROSATE CALCIUM,4
ACARBOSE,6
ACEBUTOLOL HYDROCHLORIDE,2
ACECLIDINE HYDROCHLORIDE,1
ACETAMINOPHEN,20
ACETAMINOPHEN;ASPIRIN;CAFFEINE,4
ACETAMINOPHEN;BUTALBITAL,8
ACETAMINOPHEN;BUTALBITAL;CAFFEINE,15
ACETAMINOPHEN;BUTALBITAL;CAFFEINE;CODEINE PHOSPHATE,3
ACETAMINOPHEN;CODEINE PHOSPHATE,8
ACETAMINOPHEN;HYDROCODONE BITARTRATE,17
ACETAMINOPHEN;IBUPROFEN,11
ACETAMINOPHEN;IBUPROFEN SODIUM,1
ACETAMINOPHEN;OXYCODONE HYDROCHLORIDE,17
ACETAMINOPHEN;TRAMADOL HYDROCHLORIDE,6
ACETAZOLAMIDE,20
ACETAZOLAMIDE SODIUM,6
"ACETIC ACID, GLACIAL",5
"ACETIC ACID, GLACIAL;HYDROCORTISONE",3
ACETOHYDROXAMIC ACID,1
ACETYLCHOLINE CHLORIDE,1
ACETYLCYSTEINE,14
ACITRETIN,6
ACLIDINIUM BROMIDE,1
ACLIDINIUM BROMIDE;FORMOTEROL FUMARATE,1
ACOLTREMON,1
ACORAMIDIS HYDROCHLORIDE,1
ACYCLOVIR,32
ACYCLOVIR SODIUM,4
ACYCLOVIR;HYDROCORTISONE,1
ADAGRASIB,1
ADAPALENE,9
ADAPALENE;BENZOYL PEROXIDE,9
ADAPALENE;BENZOYL PEROXIDE;CLINDAMYCIN PHOSPHATE,1
ADEFOVIR DIPIVOXIL,2
ADENOSINE,9
AFAMELANOTIDE,1
AFATINIB DIMALEATE,1
AFICAMTEN,1
AIR POLYMER-TYPE A,1
ALBENDAZOLE,6
ALBUMIN HUMAN,1
ALBUTEROL SULFATE,29
ALBUTEROL SULFATE;BUDESONIDE,1
ALBUTEROL SULFATE;IPRATROPIUM BROMIDE,5
ALCAFTADINE,3
ALCLOMETASONE DIPROPIONATE,2
ALCOHOL;CHLORHEXIDINE GLUCONATE,1
ALECTINIB HYDROCHLORIDE,1
ALENDRONATE SODIUM,10
ALENDRONATE SODIUM;CHOLECALCIFEROL,1
ALFENTANIL HYDROCHLORIDE,1
ALFUZOSIN HYDROCHLORIDE,5
ALISKIREN HEMIFUMARATE,2
ALITRETINOIN,1
ALLOPURINOL,14
ALLOPURINOL SODIUM,3
ALMOTRIPTAN MALATE,3
ALOGLIPTIN BENZOATE,1
ALOGLIPTIN BENZOATE;METFORMIN HYDROCHLORIDE,1
ALOGLIPTIN BENZOATE;PIOGLITAZONE HYDROCHLORIDE,1
ALOSETRON HYDROCHLORIDE,5
ALPELISIB,1
ALPHA-TOCOPHEROL ACETATE;ASCORBIC ACID;BIOTIN;CHOLECALCIFEROL;CYANOCOBALAMIN;DEXPANTHENOL;FOLIC ACID;NIACINAMIDE;PYRIDOXINE HYDROCHLORIDE;RIBOFLAVIN 5'-PHOSPHATE SODIUM;THIAMINE HYDROCHLORIDE;VITAMIN A PALMITATE;VITAMIN K,1
ALPRAZOLAM,10
ALPROSTADIL,4
ALVIMOPAN,3
AMANTADINE HYDROCHLORIDE,20
AMBRISENTAN,9
AMCINONIDE,4
AMIFAMPRIDINE PHOSPHATE,1
AMIKACIN SULFATE,7
AMILORIDE HYDROCHLORIDE,3
AMILORIDE HYDROCHLORIDE;HYDROCHLOROTHIAZIDE,2
AMINO ACIDS,4
"AMINO ACIDS;CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM CHLORIDE;POTASSIUM PHOSPHATE, DIBASIC;SODIUM ACETATE;SODIUM CHLORIDE",1
AMINO ACIDS;CALCIUM CHLORIDE;DEXTROSE;MAGNESIUM SULFATE;POTASSIUM CHLORIDE;SODIUM ACETATE;SODIUM GLYCEROPHOSPHATE;SOYBEAN OIL,1
AMINO ACIDS;DEXTROSE,1
AMINOCAPROIC ACID,16
AMINOLEVULINIC ACID HYDROCHLORIDE,3
AMINOPHYLLINE,1
AMINOSALICYLIC ACID,1
AMIODARONE HYDROCHLORIDE,16
AMISULPRIDE,1
AMITRIPTYLINE HYDROCHLORIDE,10
AMITRIPTYLINE HYDROCHLORIDE;CHLORDIAZEPOXIDE,1
AMITRIPTYLINE HYDROCHLORIDE;PERPHENAZINE,1
AMLODIPINE BENZOATE,1
AMLODIPINE BESYLATE,22
AMLODIPINE BESYLATE;ATORVASTATIN CALCIUM,6
AMLODIPINE BESYLATE;BENAZEPRIL HYDROCHLORIDE,6
AMLODIPINE BESYLATE;HYDROCHLOROTHIAZIDE;OLMESARTAN MEDOXOMIL,8
AMLODIPINE BESYLATE;HYDROCHLOROTHIAZIDE;VALSARTAN,5
AMLODIPINE BESYLATE;OLMESARTAN MEDOXOMIL,10
AMLODIPINE BESYLATE;TELMISARTAN,1
AMLODIPINE BESYLATE;VALSARTAN,9
AMMONIA N-13,24
AMMONIUM CHLORIDE,1
AMMONIUM LACTATE,3
AMOXAPINE,2
AMOXICILLIN,8
AMOXICILLIN;CLARITHROMYCIN;LANSOPRAZOLE,2
AMOXICILLIN;CLARITHROMYCIN;VONOPRAZAN FUMARATE,1
AMOXICILLIN;CLAVULANATE POTASSIUM,9
AMOXICILLIN;OMEPRAZOLE MAGNESIUM;RIFABUTIN,1
AMOXICILLIN;VONOPRAZAN FUMARATE,1
AMPHETAMINE,2
AMPHETAMINE ASPARTATE;AMPHETAMINE SULFATE;DEXTROAMPHETAMINE SACCHARATE;DEXTROAMPHETAMINE SULFATE,23
AMPHETAMINE SULFATE,11
AMPHETAMINE;AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE,1
AMPHOTERICIN B,6
AMPICILLIN SODIUM,8
AMPICILLIN SODIUM;SULBACTAM SODIUM,9
AMPICILLIN/AMPICILLIN TRIHYDRATE,2
ANAGRELIDE HYDROCHLORIDE,5
ANASTROZOLE,9
ANGIOTENSIN II ACETATE,2
ANIDULAFUNGIN,1
APALUTAMIDE,2
APIXABAN,4
APOMORPHINE HYDROCHLORIDE,3
APRACLONIDINE HYDROCHLORIDE,2
APREMILAST,6
APREPITANT,7
APROCITENTAN,1
ARFORMOTEROL TARTRATE,16
ARGATROBAN,10
ARGININE HYDROCHLORIDE,1
ARIMOCLOMOL CITRATE,1
ARIPIPRAZOLE,24
ARIPIPRAZOLE LAUROXIL,1
ARMODAFINIL,6
ARSENIC TRIOXIDE,11
ARTEMETHER;LUMEFANTRINE,1
ARTESUNATE,1
ARTICAINE HYDROCHLORIDE;EPINEPHRINE BITARTRATE,2
ASCIMINIB HYDROCHLORIDE,1
ASCORBIC ACID,2
ASCORBIC ACID;BIOTIN;CHOLECALCIFEROL;CYANOCOBALAMIN;DEXPANTHENOL;FOLIC ACID;NIACINAMIDE;PYRIDOXINE;RIBOFLAVIN;THIAMINE;TOCOPHEROL ACETATE;VITAMIN A;VITAMIN K,1
