package_ndc,generic_name,dosage_form,presentation,company_name,initial_posting_date,update_date,discontinued_date,availability,status,shortage_reason,therapeutic_category,update_type,related_info,shortage,manufacturer_count,shortage_frequency,drug_shortage_frequency,log_drug_freq,complexity_Low,complexity_Medium
65219-460-20,Dextrose Monohydrate 5% Injection,Injection,"Dextrose 5% In Plastic Container, Injection, 50 mg/1 mL (NDC 65219-460-20)","Fresenius Kabi USA, LLC",2022-02-14,2026-04-02,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Reverified,Check wholesalers for inventory,0,4,1,36,3.6109179126442243,False,False
65219-632-20,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 2 mg/1 mL (NDC 65219-632-20)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,,0,5,1,46,3.8501476017100584,False,False
63323-492-37,Lidocaine Hydrochloride Injection,Injection,"Xylocaine, Injection, 10 mg/1 mL (NDC 63323-492-37)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,10,1,70,4.2626798770413155,False,False
47781-564-01,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 30 mg (NDC 47781-564-01)",Alvogen,2023-07-14,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
0517-1001-25,Atropine Sulfate Injection,Injection,"Atropine Sulfate, Injection, 1 mg/1 mL (NDC 0517-1001-25)","American Regent, Inc.",2012-01-01,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Neurology, Pediatric",Reverified,,0,7,1,18,2.9444389791664403,False,False
47781-567-01,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 60 mg (NDC 47781-567-01)",Alvogen,2023-07-14,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
72205-137-91,"Lisdexamfetamine Dimesylate Tablet, Chewable","Tablet, Chewable","Lisdexamfetamine Dimesylate, Tablet, Chewable, 60 mg (NDC 72205-137-91)",Novadoz Pharmaceuticals LLC,2023-07-14,2026-04-02,,Available,Current,Shortage of an active ingredient,Psychiatry,Reverified,Limited supply from Manufacturers,0,3,1,18,2.9444389791664403,True,False
63323-185-20,Sterile Water Injection,Injection,"Sterile Water For Injection In Plastic Container, Injection, 1 mL/1 mL (NDC 63323-185-20)","Fresenius Kabi USA, LLC",2021-11-23,2026-04-02,,Available,Current,Unavailable,Other,Reverified,Check wholesalers for inventory,0,5,1,12,2.5649493574615367,False,False
63323-460-37,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Injection,"Sensorcaine, Injection, 7.5 mg/1 mL; .005 mg/1 mL (NDC 63323-460-37)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,2,1,20,3.044522437723423,False,False
76045-105-20,Ketorolac Tromethamine Injection,Injection,"Ketorolac Tromethamine, Injection, 60 mg/2 mL (NDC 76045-105-20)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Other,Analgesia/Addiction,Reverified,Expected recovery: TBD,1,7,1,25,3.258096538021482,False,False
65219-368-02,Lorazepam Injection,Injection,"Lorazepam, Injection, 2 mg/1 mL (NDC 65219-368-02)","Fresenius Kabi USA, LLC",2018-05-03,2026-04-02,,Available,Current,Unavailable,Neurology,Reverified,Check wholesalers for inventory,0,4,1,11,2.4849066497880004,False,False
63323-851-50,Hydromorphone Hydrochloride Injection,Injection,"Hydromorphone Hydrochloride, Injection, 10 mg/1 mL (NDC 63323-851-50)","Fresenius Kabi USA, LLC",2017-10-31,2026-04-02,,Available,Current,Unavailable,Analgesia/Addiction,Reverified,Check wholesalers for inventory,0,4,1,26,3.295836866004329,False,False
63323-280-04,Furosemide Injection,Injection,"Furosemide, Injection, 10 mg/1 mL (NDC 63323-280-04)","Fresenius Kabi USA, LLC",2020-04-07,2026-04-02,,Available,Current,Unavailable,Cardiovascular,Reverified,Check wholesalers for inventory,0,9,1,33,3.5263605246161616,False,False
63323-671-50,Dexmedetomidine Hydrochloride Injection,Injection,"Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 63323-671-50)","Fresenius Kabi USA, LLC",2020-04-10,2026-04-02,,Unavailable,Current,Delay in shipping of the drug,Anesthesia,Reverified,Expected recovery: TBD,1,14,1,52,3.970291913552122,False,False
63323-824-75,Dextrose Monohydrate 10% Injection,Injection,"Dextrose 10% In Plastic Container, Injection, 100 mg/1 mL (NDC 63323-824-75)","Fresenius Kabi USA, LLC",2022-03-01,2026-04-02,,Available,Current,Unavailable,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",Reverified,Check wholesalers for inventory,0,4,1,13,2.6390573296152584,False,False
63323-604-01,Propranolol Hydrochloride Injection,Injection,"Propranolol Hydrochloride, Injection, 1 mg/1 mL (NDC 63323-604-01)","Fresenius Kabi USA, LLC",2023-10-31,2026-04-02,,Available,Current,Unavailable,Cardiovascular,Reverified,Check wholesalers for inventory,0,2,1,2,1.0986122886681098,False,False
47781-562-01,Lisdexamfetamine Dimesylate Capsule,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 10 mg (NDC 47781-562-01)",Alvogen,2023-07-14,2026-04-02,,Available,Current,Unavailable,Psychiatry,Reverified,,0,13,1,90,4.51085950651685,True,False
63323-494-05,Valproate Sodium Injection,Injection,"Valproate Sodium, Injection, 100 mg/1 mL (NDC 63323-494-05)","Fresenius Kabi USA, LLC",2020-12-30,2026-04-02,,Available,Current,Unavailable,Neurology,Reverified,Checkwholesalers for inventory,0,2,1,2,1.0986122886681098,False,False
63323-468-17,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Injection,"Sensorcaine, Injection, 2.5 mg/1 mL; .005 mg/1 mL (NDC 63323-468-17)","Fresenius Kabi USA, LLC",2018-02-20,2026-04-02,,Available,Current,Unavailable,Anesthesia,Reverified,Check wholesalers for inventory,0,2,1,20,3.044522437723423,False,False
63323-286-20,Ropivacaine Hydrochloride Injection,Injection,"Naropin, Injection, 5 mg/1 mL (NDC 63323-286-20)","Fresenius Kabi USA, LLC",2018-03-23,2026-04-02,,Unavailable,Current,Delay in shipping of the drug,Anesthesia,Reverified,Expected recovery: TBD,1,5,1,46,3.8501476017100584,False,False
63323-165-30,Dexamethasone Sodium Phosphate Injection,Injection,"Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 63323-165-30)","Fresenius Kabi USA, LLC",2019-02-08,2026-04-02,,Available,Current,Unavailable,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",Reverified,Check wholesalers for inventory,0,5,1,16,2.833213344056216,False,False
63323-486-17,Lidocaine Hydrochloride Injection,Injection,"Xylocaine, Injection, 20 mg/1 mL (NDC 63323-486-17)","Fresenius Kabi USA, LLC",2012-02-22,2026-04-02,,Available,Current,Unavailable,"Anesthesia, Pediatric",Reverified,Check wholesalers for inventory,0,10,1,70,4.2626798770413155,False,False
